wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_o2d_le_5,del_rel,delivered_vol,order_bucket
wave2_aug,12397,Ashley Furniture WI 54612,Ashley Furniture,Upholstery,Anne Marie Conde,2026-08-02,post,1.0,430.0,0.2186046511627907,0.32325581395348835,0.13488372093023257,0.1883720930232558,0.9837209302325581,7.000000000000003,0.8534883720930233,0.627906976744186,3.325814536340852,3.261072261072261,0.5372093023255814,0.8813953488372093,0.9441860465116279,0.7016317016317016,429.0,all
wave2_aug,12397,Ashley Furniture WI 54612,Ashley Furniture,Upholstery,Anne Marie Conde,2026-08-02,pre,1.0,1100.0,0.0,0.2863636363636364,0.12602739726027398,0.16164383561643836,0.9881818181818182,13.000000000000023,1.1336363636363636,0.4718181818181818,3.4471153846153846,3.3458371454711804,0.5726027397260274,0.8936363636363637,0.93,0.7461044912923923,1091.0,all
wave2_aug,28772,Linon CA 92408,Linon,Casegoods,Connor Henderson,2026-08-02,post,1.0,769.0,0.23016905071521457,0.2925877763328999,0.0,0.2925877763328999,0.9427828348504551,44.00000000000002,1.2262678803641092,0.8543563068920677,4.956462585034013,4.310793237971391,0.7555266579973993,0.7139141742522757,0.7334200260078023,0.788787483702738,767.0,all
wave2_aug,28772,Linon CA 92408,Linon,Casegoods,Connor Henderson,2026-08-02,pre,1.0,2022.0,0.0019782393669634025,0.2898120672601385,0.01830776843146957,0.27164769915883225,0.8966369930761622,209.00000000000006,1.7779426310583581,0.6617210682492581,5.117043121149897,4.501980198019802,0.9604156358238496,0.6968348170128585,0.7032640949554896,0.777998017839445,2018.0,all
wave2_aug,51786,NeoChair CA 90723,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,post,1.0,344.0,0.25290697674418605,0.2936046511627907,0.0,0.2936046511627907,0.997093023255814,1.0000000000000018,0.9069767441860465,0.7151162790697675,3.398826979472141,3.0406976744186047,0.8372093023255814,0.9680232558139535,0.9593023255813954,0.9008746355685131,343.0,all
wave2_aug,51786,NeoChair CA 90723,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,pre,1.0,910.0,0.0,0.24395604395604395,0.0,0.24395604395604395,0.9428571428571428,52.000000000000014,1.1824175824175824,0.5263736263736264,3.6629834254143647,3.18021978021978,0.8868131868131868,0.9340659340659341,0.9516483516483516,0.9349503858875413,907.0,all
wave2_aug,56438,Costway CA 92337B,Costway,APS Outdoor,David Liu,2026-08-02,post,1.0,112.0,0.5803571428571429,0.375,0.21621621621621623,0.16216216216216217,0.875,14.0,1.3660714285714286,0.6517857142857143,4.794642857142857,3.828828828828829,0.9459459459459459,0.7678571428571429,0.7946428571428571,0.918918918918919,111.0,all
wave2_aug,56438,Costway CA 92337B,Costway,APS Outdoor,David Liu,2026-08-02,pre,1.0,588.0,0.0,0.2108843537414966,0.0663265306122449,0.1445578231292517,0.8673469387755102,78.00000000000003,1.41156462585034,0.7380952380952381,4.306368330464716,3.7918088737201363,1.030612244897959,0.7704081632653061,0.8214285714285714,0.8771331058020477,586.0,all
wave2_aug,58217,"VM MP, LLC PA 18634",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,post,1.0,876.0,0.19863013698630136,0.3002283105022831,0.13013698630136986,0.17009132420091325,0.9828767123287672,14.999999999999963,0.8538812785388128,0.617579908675799,3.100467289719626,2.3150057273768616,0.5068493150684932,0.882420091324201,0.9360730593607306,0.9036697247706422,872.0,all
wave2_aug,58217,"VM MP, LLC PA 18634",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,pre,1.0,3310.0,0.0,0.26042296072507554,0.1124546553808948,0.14812575574365175,0.9444108761329305,184.0,0.9981873111782478,0.43293051359516616,3.053404122423485,2.3621212121212123,0.5731559854897219,0.8996978851963746,0.9329305135951662,0.8802067497719671,3289.0,all
wave2_aug,58218,"VM MP, LLC IN 46143",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,post,1.0,483.0,0.20496894409937888,0.2774327122153209,0.11594202898550725,0.16149068322981366,0.9772256728778468,11.000000000000004,0.8033126293995859,0.6045548654244306,2.760084925690021,2.1929460580912865,0.4492753623188406,0.94824016563147,0.9668737060041408,0.8506224066390041,482.0,all
