wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,order_bucket,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_fast_badge,del_rel,delivered_vol
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,weekday,pre,1.0,560.0,0.0017857142857142857,0.05714285714285714,0.0,0.05714285714285714,0.9285714285714286,39.999999999999986,1.2446428571428572,0.8785714285714286,4.798165137614679,3.842857142857143,1.1767857142857143,0.7464285714285714,0.7732142857142857,0.8723021582733813,556.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,fri_sat,post,1.0,105.0,0.9714285714285714,0.7047619047619048,0.37142857142857144,0.3333333333333333,1.0,0.0,1.619047619047619,0.41904761904761906,4.823529411764706,3.361904761904762,0.6761904761904762,0.819047619047619,0.8952380952380953,0.9428571428571428,105.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,fri_sat,pre,1.0,301.0,0.0,0.8438538205980066,0.3289036544850498,0.5149501661129569,0.9900332225913622,2.9999999999999862,2.5880398671096345,0.0,4.793814432989691,3.6387959866220734,0.9634551495016611,0.8106312292358804,0.8737541528239202,0.9222972972972973,296.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,sunday,post,1.0,98.0,0.0,0.20408163265306123,0.0,0.20408163265306123,0.8061224489795918,19.0,1.5510204081632653,0.9795918367346939,3.6923076923076925,3.0,0.9897959183673469,0.7959183673469388,0.9081632653061225,0.7731958762886598,97.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,sunday,pre,1.0,173.0,0.0,0.23699421965317918,0.0,0.23699421965317918,0.8786127167630058,21.0,1.023121387283237,0.976878612716763,3.953216374269006,3.133720930232558,0.9017341040462428,0.8323699421965318,0.9017341040462428,0.8830409356725146,171.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,weekday,post,1.0,247.0,0.012145748987854251,0.0,0.0,0.0,0.9635627530364372,9.000000000000004,1.048582995951417,0.9676113360323887,3.7245762711864407,3.133603238866397,0.8299595141700404,0.805668016194332,0.8663967611336032,0.8373983739837398,246.0
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,weekday,pre,1.0,642.0,0.0,0.029595015576323987,0.028081123244929798,0.0015600624024961,0.8800623052959502,76.99999999999997,1.1526479750778815,0.942367601246106,3.5008210180623975,3.0842433697347893,0.9173166926677067,0.8333333333333334,0.8940809968847352,0.8034591194968553,636.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,fri_sat,post,1.0,113.0,0.5575221238938053,0.5663716814159292,0.061946902654867256,0.504424778761062,0.5929203539823009,45.99999999999999,1.8495575221238938,0.36283185840707965,4.433628318584071,4.1415929203539825,1.7787610619469028,0.9823008849557522,0.9557522123893806,0.9292035398230089,113.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,fri_sat,pre,1.0,190.0,0.0,0.7789473684210526,0.010526315789473684,0.7684210526315789,0.9842105263157894,3.0000000000000093,2.5526315789473686,0.0,4.579787234042553,4.347368421052631,1.768421052631579,0.9368421052631579,0.9105263157894737,0.8631578947368421,190.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,sunday,post,1.0,105.0,0.0,0.01904761904761905,0.0,0.01904761904761905,0.24761904761904763,79.0,1.0,1.0,4.076190476190476,4.019047619047619,1.7333333333333334,0.9619047619047619,0.9523809523809523,0.8666666666666667,105.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,sunday,pre,1.0,135.0,0.0,0.05185185185185185,0.0,0.05185185185185185,0.6888888888888889,42.0,1.1407407407407408,0.8592592592592593,3.9774436090225564,3.466666666666667,1.288888888888889,0.9555555555555556,0.9703703703703703,0.9111111111111111,135.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,weekday,post,1.0,185.0,0.0,0.15675675675675677,0.15675675675675677,0.0,0.3081081081081081,128.0,1.0216216216216216,0.9783783783783784,3.9175824175824174,4.1891891891891895,1.7243243243243243,0.9351351351351351,0.8648648648648649,0.6216216216216216,185.0
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,weekday,pre,1.0,334.0,0.0,0.15868263473053892,0.08682634730538923,0.0718562874251497,0.7245508982035929,91.99999999999999,1.4491017964071857,0.781437125748503,4.006079027355623,3.844311377245509,1.374251497005988,0.8772455089820359,0.8652694610778443,0.7747747747747747,333.0
wave2_aug,372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,fri_sat,post,1.0,113.0,0.9911504424778761,0.48672566371681414,0.23008849557522124,0.25663716814159293,0.6991150442477876,34.0,1.5044247787610618,0.5132743362831859,4.221238938053097,3.690265486725664,1.168141592920354,0.9911504424778761,0.9646017699115044,0.9292035398230089,113.0
wave2_aug,372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,fri_sat,pre,1.0,413.0,0.0,0.7699757869249395,0.288135593220339,0.48184019370460046,0.9975786924939467,1.0000000000000104,2.4745762711864407,0.0,4.594059405940594,3.982968369829684,1.0338983050847457,0.9152542372881356,0.927360774818402,0.9219512195121952,410.0
wave2_aug,372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,sunday,post,1.0,122.0,0.0,0.13114754098360656,0.0,0.13114754098360656,0.8360655737704918,19.999999999999996,1.0245901639344261,0.9754098360655737,3.7459016393442623,3.1147540983606556,1.040983606557377,0.9836065573770492,0.9672131147540983,0.9426229508196722,122.0
wave2_aug,372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,sunday,pre,1.0,268.0,0.0,0.13805970149253732,0.0,0.13805970149253732,0.8656716417910447,36.000000000000014,1.1119402985074627,0.8880597014925373,3.787878787878788,3.041044776119403,1.0298507462686568,0.9701492537313433,0.9813432835820896,0.9328358208955224,268.0
wave2_aug,372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,weekday,post,1.0,206.0,0.0048543689320388345,0.019417475728155338,0.019417475728155338,0.0,0.9271844660194175,14.999999999999993,1.0339805825242718,0.9757281553398058,3.478048780487805,2.7718446601941746,0.6990291262135923,0.9611650485436893,0.9563106796116505,0.9077669902912622,206.0
