wave,order_bucket,weeks_from_enable,week_start,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,det_o2d,det_del_rel,del_rel,delivered_vol,det_vol
wave1_jun_jul,sunday,0,2026-06-21,1.0,290.0,0.0034482758620689655,0.32413793103448274,0.0,0.32413793103448274,0.993103448275862,2.000000000000004,1.103448275862069,0.9896551724137931,3.3568904593639575,2.975862068965517,0.7,0.9724137931034482,0.993103448275862,3.0642857142857145,0.9137931034482759,0.9586206896551724,290.0,280.0
wave1_jun_jul,sunday,3,2026-08-02,1.0,126.0,0.47619047619047616,0.4444444444444444,0.0,0.4444444444444444,0.9682539682539683,4.0,0.5238095238095238,0.5238095238095238,4.055555555555555,3.8253968253968256,0.5555555555555556,0.8492063492063492,0.8809523809523809,3.976,0.9047619047619048,0.9285714285714286,126.0,125.0
wave1_jun_jul,sunday,4,2026-08-02,10.0,2529.0,0.2048240411229735,0.0498220640569395,0.0,0.0498220640569395,0.7540529853697113,622.0,0.9782522736259391,0.7097667062079873,3.770253929866989,3.3523131672597866,1.0525899565045473,0.9553183076314749,0.9612495057334915,3.2195220737140544,0.7437722419928826,0.8936338473705022,2529.0,2469.0
wave1_jun_jul,sunday,4,2026-08-09,1.0,132.0,0.4621212121212121,0.3939393939393939,0.0,0.3939393939393939,0.9318181818181818,9.000000000000007,0.5606060606060606,0.5303030303030303,4.107692307692307,3.772727272727273,0.6287878787878788,0.8333333333333334,0.8787878787878788,4.015503875968992,0.9545454545454546,0.9696969696969697,132.0,129.0
wave1_jun_jul,sunday,5,2026-08-09,10.0,2256.0,0.22074468085106383,0.03900709219858156,0.0,0.03900709219858156,0.6941489361702128,690.0,0.9219858156028369,0.6777482269503546,3.9445196211096074,3.480496453900709,1.178191489361702,0.9299645390070922,0.950354609929078,3.293823796548592,0.6812943262411347,0.8772163120567376,2256.0,2202.0
wave1_jun_jul,sunday,5,2026-08-16,1.0,116.0,0.39655172413793105,0.49137931034482757,0.0,0.49137931034482757,0.9741379310344828,2.9999999999999996,0.603448275862069,0.603448275862069,4.147826086956521,3.8189655172413794,0.5086206896551724,0.8275862068965517,0.853448275862069,4.061946902654867,0.9396551724137931,0.9741379310344828,116.0,113.0
wave1_jun_jul,sunday,6,2026-08-02,1.0,342.0,0.19005847953216373,0.029239766081871343,0.0,0.029239766081871343,0.8333333333333334,56.999999999999986,0.8128654970760234,0.8070175438596491,4.255952380952381,3.1315789473684212,0.97953216374269,0.9005847953216374,0.9912280701754386,2.828402366863905,0.6783625730994152,0.9736842105263158,342.0,338.0
wave1_jun_jul,sunday,6,2026-08-16,10.0,2432.0,0.21792763157894737,0.05139802631578947,0.0,0.05139802631578947,0.7545230263157895,597.0,1.0139802631578947,0.6813322368421053,3.884455527847049,3.405838815789474,1.025904605263158,0.9403782894736842,0.9584703947368421,3.389837567680133,0.7442434210526315,0.9000822368421053,2432.0,2401.0
wave1_jun_jul,sunday,6,2026-08-23,1.0,115.0,0.4608695652173913,0.43478260869565216,0.0,0.43478260869565216,0.9130434782608695,10.000000000000005,0.5739130434782609,0.5217391304347826,4.008771929824562,3.5391304347826087,0.6,0.8521739130434782,0.9217391304347826,3.9285714285714284,0.9304347826086956,0.9739130434782609,115.0,112.0
wave1_jun_jul,sunday,7,2026-08-09,1.0,317.0,0.24605678233438485,0.11041009463722397,0.0,0.11041009463722397,0.8233438485804416,56.00000000000001,0.7697160883280757,0.7476340694006309,4.23961661341853,3.0630914826498423,0.9085173501577287,0.943217665615142,0.9810725552050473,2.6031746031746033,0.6088328075709779,0.9716088328075709,317.0,315.0
wave1_jun_jul,sunday,7,2026-08-23,10.0,2478.0,0.2691686844229217,0.07990314769975787,0.0,0.07990314769975787,0.6811945117029863,790.0,0.7885391444713479,0.7259887005649718,3.675,3.321226795803067,1.029459241323648,0.9543987086359967,0.9737691686844229,3.1171875,0.7037933817594835,0.8861985472154964,2478.0,2432.0
wave1_jun_jul,sunday,8,2026-08-16,1.0,291.0,0.0,0.061855670103092786,0.0,0.061855670103092786,0.9621993127147767,10.999999999999993,1.268041237113402,0.9965635738831615,4.592334494773519,3.5945017182130585,1.2439862542955327,0.9484536082474226,0.9690721649484536,3.1846689895470384,0.8109965635738832,0.9759450171821306,291.0,287.0
wave1_jun_jul,sunday,9,2026-08-23,1.0,306.0,0.0,0.19607843137254902,0.0,0.19607843137254902,0.9901960784313726,2.9999999999999893,1.0980392156862746,0.9901960784313726,4.566666666666666,3.0784313725490198,0.8235294117647058,0.9607843137254902,1.0,2.986666666666667,0.8562091503267973,0.9771241830065359,306.0,300.0
wave1_jun_jul,weekday,-6,2026-05-31,1.0,554.0,0.0,0.0,0.0,0.0,0.9963898916967509,2.0000000000000284,0.851985559566787,0.7382671480144405,4.127541589648798,3.6227436823104693,0.5505415162454874,0.7527075812274369,0.8267148014440433,3.9059500959692897,0.8303249097472925,0.9025270758122743,554.0,521.0
wave1_jun_jul,weekday,-5,2026-05-31,10.0,9135.0,0.0006568144499178982,0.02594417077175698,0.010619662798335887,0.015327348368732209,0.9062944718117132,856.0,0.9603721948549535,0.7917898193760263,3.5844841136185024,3.425287356321839,0.8476023647908911,0.8671045429666119,0.8748768472906404,3.246185614316852,0.6673234811165846,0.8298850574712644,9135.0,8717.0
wave1_jun_jul,weekday,-5,2026-06-07,1.0,449.0,0.0,0.12472160356347439,0.12472160356347439,0.0,0.8195991091314031,81.0,0.7683741648106904,0.7438752783964365,4.006880733944954,3.9821826280623607,0.8240534521158129,0.7594654788418709,0.779510022271715,3.785202863961814,0.6547884187082406,0.7282850779510023,449.0,419.0
wave1_jun_jul,weekday,-4,2026-06-07,10.0,9113.0,0.0,0.004828267310435641,0.0012070668276089104,0.003621200482826731,0.962141994952266,344.99999999999955,0.8599802479973664,0.781959837594645,3.6885523787998644,3.4151212553495007,0.7799604916593503,0.858663447821793,0.881268517502469,3.2802591992594308,0.710194228025897,0.8502139800285307,9113.0,8642.0
wave1_jun_jul,weekday,-4,2026-06-14,1.0,551.0,0.0,0.0018148820326678765,0.0018148820326678765,0.0,0.9891107078039928,5.99999999999997,0.8148820326678766,0.7858439201451906,4.1359404096834265,3.5934664246823957,0.5771324863883848,0.7586206896551724,0.8203266787658802,3.909433962264151,0.8729582577132486,0.9165154264972777,551.0,530.0
wave1_jun_jul,weekday,-3,2026-05-31,1.0,1191.0,0.0,0.0008396305625524769,0.0,0.0008396305625524769,0.9370277078085643,74.99999999999997,0.8438287153652393,0.7455919395465995,3.3039383561643834,2.786733837111671,0.6188077246011755,0.9521410579345088,0.9714525608732157,2.8586666666666667,0.7489504617968094,0.9034424853064652,1191.0,1125.0
wave1_jun_jul,weekday,-3,2026-06-14,10.0,9651.0,0.00020723241114910373,0.004248264428556627,0.0003109775059604022,0.0039390484088317615,0.9547197181639209,436.99999999999966,0.9126515387006527,0.7571236141332505,3.556427662282563,3.192829758574241,0.7481082201720742,0.8785618070666252,0.9062273339550305,3.163101313932023,0.7506994093876282,0.8844679307843747,9651.0,9209.0
wave1_jun_jul,weekday,-3,2026-06-21,1.0,464.0,0.0,0.0021551724137931034,0.0021551724137931034,0.0,0.9935344827586207,3.0000000000000124,0.7974137931034483,0.7586206896551724,3.931111111111111,3.3491379310344827,0.5064655172413793,0.7844827586206896,0.8469827586206896,3.720823798627002,0.8448275862068966,0.9008620689655172,464.0,437.0
wave1_jun_jul,weekday,-2,2026-06-07,1.0,1224.0,0.0,0.0032679738562091504,0.0,0.0032679738562091504,0.9803921568627451,24.00000000000005,0.8529411764705882,0.7320261437908496,3.419409282700422,2.9877450980392157,0.6119281045751634,0.9166666666666666,0.9616013071895425,2.983435047951177,0.7540849673202614,0.8913398692810458,1224.0,1147.0
wave1_jun_jul,weekday,-2,2026-06-21,10.0,8028.0,0.000622820129546587,0.014573991031390135,0.006352765321375187,0.008221225710014948,0.9338565022421524,531.0000000000002,0.9836821126058795,0.7595914299950174,3.7455220061412486,3.4468111609367216,0.7859990034877927,0.8576233183856502,0.8497757847533632,3.753028526768269,0.7543597409068261,0.81751370204285,8028.0,7677.0
wave1_jun_jul,weekday,-1,2026-06-14,1.0,1372.0,0.0,0.0014577259475218659,0.0,0.00145985401459854,0.9715743440233237,38.99999999999994,0.7215743440233237,0.6997084548104956,3.2691740412979353,2.802478134110787,0.5467153284671533,0.9497084548104956,0.9701166180758017,2.855631141345427,0.8345481049562682,0.9293002915451894,1372.0,1323.0
