ops,purchase_order_number,supplier_id,su_name,city_name,state_name,order_complete_date,msbd_su,order_dow,is_fri_sat_placed,o2d_stated,cushion,is_before_cutoff,order_hour_supplier_local,adj_cushion,adj_2pm_cutoff,adj_weekend,sim_current,sim_policy,sim_full,inducted_on_time_or_early,badge_current_1d,badge_current_2d,badge_current_3d,badge_current_fast,badge_policy_1d,badge_policy_2d,badge_policy_3d,badge_policy_fast,badge_full_1d,badge_full_2d,badge_full_3d,badge_full_fast,new_from_cutoff_1d,new_from_cutoff_2d,new_from_cutoff_3d,new_from_cutoff_fast,new_from_weekend_1d,new_from_weekend_2d,new_from_weekend_3d,new_from_weekend_fast
11417139256,663554014,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-22,1,0,5,1,1,18,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11417221766,663567986,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-22,1,0,5,1,1,19,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11417475056,663611133,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-23,1,0,3,1,1,23,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11417838886,663678996,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,7,1,0,12,1,1,0,7,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11417885446,663688292,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,3,1,0,12,1,1,0,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
11417969116,663706040,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,9,1,0,14,1,1,0,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418045486,663715896,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,4,1,0,15,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11418146916,663733371,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,8,1,0,17,1,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418476276,663791757,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-23,2,0,7,1,0,22,1,0,0,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418581616,663808568,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-24,2,0,8,1,0,0,1,1,0,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418600216,663810624,10114,Safavieh PA 18042a,Easton,PA,2026-06-22,2026-06-24,2,0,5,1,0,0,1,1,0,5,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11418759266,663913329,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-24,3,0,8,1,0,16,1,0,0,8,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418802116,664063791,10114,Safavieh PA 18042a,Easton,PA,2026-06-24,2026-06-25,4,0,7,1,0,11,1,1,0,7,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11418817916,663829255,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-24,3,0,4,1,0,6,1,1,0,4,2,2,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
11418850646,663843300,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-24,3,0,2,1,0,9,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
11419096836,663898217,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-24,3,0,17,1,0,14,1,1,0,17,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11419734576,664004928,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-25,3,0,8,1,0,1,1,1,0,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420186246,664099786,10114,Safavieh PA 18042a,Easton,PA,2026-06-24,2026-06-25,4,0,2,1,0,14,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
11420228366,664391820,10114,Safavieh PA 18042a,Easton,PA,2026-06-25,2026-06-29,5,1,22,1,0,0,1,1,1,22,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420329136,664128191,10114,Safavieh PA 18042a,Easton,PA,2026-06-24,2026-06-25,4,0,7,1,0,17,1,0,0,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420455256,664146046,10114,Safavieh PA 18042a,Easton,PA,2026-06-24,2026-06-25,4,0,16,1,0,19,1,0,0,16,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420501176,664152354,10114,Safavieh PA 18042a,Easton,PA,2026-06-24,2026-06-25,4,0,15,1,0,19,1,0,0,15,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
