supplier_type,supplier_id,su_name,sto,own_state,assigned_hub,total_vol,direct_vol,pct_direct,ifr_direct,ifr_local,ifr_lift,del_direct,del_local,del_lift,avg_gain_direct
constrained,321452,NingBo KaiMeiChen DianZiShangWu YouXianGongSi CA 91761,APS Home Improvement,CA,CHINO LOCAL,6661,491,0.07371265575739379,0.8716904276985743,0.9191163045462831,-0.047425876847708826,0.7759674134419551,0.8532043089282458,-0.07723689548629076,0.9290637962462674
constrained,112675,Sign Leader Incorporation CA 91766,APS Youth,CA,INDUSTRY,5043,478,0.09478485028752727,0.8682008368200838,0.9480129967508113,-0.07981215993072754,0.8974895397489541,0.9027743064233942,-0.005284766674440111,0.9375135329213068
constrained,399345,Shenzhen Like Keji Youxiangongsi CA 91730(2),APS Bedroom,CA,WEST RIALTO,2630,477,0.18136882129277568,0.9685534591194971,0.799050632911393,0.16950282620810408,0.8259958071278826,0.7753164556962021,0.05067935143168045,0.9429260292243713
constrained,127631,Shenzhen Zhichen Trading Co. LTD. CA 91761,APS K&D,CA,CHINO LOCAL,3595,472,0.13129346314325452,0.9067796610169493,0.9384779516358476,-0.031698290618898284,0.8474576271186441,0.8485064011379791,-0.0010487740193350081,0.9341746501853341
constrained,31503,"Top Knobs, Inc. CA 90065",Hardware,CA,ARCADIA,3771,469,0.12437019358260408,0.8955223880597016,0.9399205561072492,-0.04439816804754759,0.7697228144989343,0.7924528301886794,-0.022730015689745087,0.9233361028253683
constrained,125267,Safavieh GA 31320,Rugs,GA,SAVANNAH,13394,466,0.03479169777512319,0.9227467811158805,0.9054131054131057,0.017333675702774776,0.8304721030042923,0.8563288563288562,-0.02585675332456394,0.8297436292587108
constrained,54257,XSL INC CA 92880 Wayfair,APS Upholstery,CA,CHINO LOCAL,3381,464,0.13723750369713103,0.8405172413793102,0.8927973199329975,-0.052280078553687326,0.7974137931034486,0.8588777219430481,-0.0614639288395995,0.9419827612784049
constrained,82470,Ledel Lighting INC CA92841,Lighting,CA,ANAHEIM,3368,461,0.13687648456057008,0.7592190889370927,0.9621238938053104,-0.20290480486821771,0.876355748373102,0.9090265486725664,-0.03267080029946434,0.9517684384340939
constrained,408999,"Freestyle Outdoor Living Co., Ltd CA 91761 (4)",APS Outdoor,CA,SAVANNAH,6219,457,0.07348448303585786,1.0,0.9891683495502108,0.010831650449789176,0.9234135667396062,0.8937029557554599,0.02971061098414629,0.9288071049765393
constrained,233314,Andes Fontana CA 92335,Upholstery,CA,WEST RIALTO,2149,456,0.21219171707771056,0.9649122807017539,0.9561243144424133,0.00878796625934064,0.93859649122807,0.872029250457038,0.06656724077103193,0.9380410167991409
constrained,38484,BNF Home CA 91761,APS Soft Home,CA,CHINO LOCAL,3115,456,0.1463884430176565,0.26754385964912275,0.8652000000000001,-0.5976561403508773,0.8157894736842103,0.8076000000000001,0.008189473684210191,0.9539439130386321
constrained,320854,Curtis International CA,Appliances,CA,CARSON,3233,455,0.14073615836684195,0.03956043956043961,0.16579536967886477,-0.12623493011842515,0.854945054945055,0.779312920089619,0.07563213485543596,0.9549500855688245
constrained,433182,NUU GARDEN CORPORATION CA 91730,APS Outdoor,CA,WEST RIALTO,1583,449,0.28363866077068856,0.6636971046770601,0.8713745271122325,-0.2076774224351724,0.8663697104677056,0.9281210592686,-0.06175134880089439,0.9553423651761219
constrained,116262,EFPerfect CA 91766,APS Home Improvement,CA,INDUSTRY,3147,442,0.14045122338735302,0.9886877828054298,0.9657823913879282,0.022905391417501586,0.8529411764705879,0.8746635909265674,-0.021722414455979555,0.9486965935103712
constrained,279170,"GigaCloud Trading, Inc. AT4 GA 31408",Outdoor Furniture,GA,SAVANNAH,5661,435,0.07684154742978272,0.717241379310345,0.7596531075779459,-0.04241172826760087,0.8390804597701148,0.8732190790832127,-0.03413861931309792,0.8725192464762296
constrained,66308,Abble Inc. CA 91730 (3),Outdoor Furniture,CA,WEST RIALTO,2212,428,0.19349005424954793,0.9953271028037384,0.9816676522767586,0.01365945052697981,0.8574766355140185,0.8941454760496746,-0.03666884053565611,0.9538472205619736
constrained,82484,Elrene Home Fashions CA 91748,Soft Home,CA,INDUSTRY,3473,425,0.122372588540167,0.931764705882352,0.8055460458747,0.12621866000765203,0.8164705882352942,0.786716877781581,0.029753710453713222,0.9560509917924845
constrained,248293,Phantoscope CA,APS,CA,SANTA FE SPRINGS,3063,424,0.13842637936663402,0.761792452830188,0.9397967161845209,-0.17800426335433284,0.7971698113207545,0.9018764659890541,-0.10470665466829965,0.9478474725866084
constrained,23370,Cheungs Rattan CA,Decor,CA,ANAHEIM,2845,423,0.14868189806678384,0.9976359338061469,0.991945739720219,0.005690194085927858,0.9338061465721039,0.9164900381517604,0.01731610842034348,0.9520308967876396
constrained,236782,Amalgamated Textiles USA GA 31320,Soft Home,GA,SAVANNAH,5404,412,0.07623982235381199,0.8422330097087378,0.9210966931770619,-0.07886368346832406,0.8155339805825248,0.8524487233151945,-0.0369147427326697,0.8929794683182474
constrained,413783,"Sorara Outdoor Living USA, Inc. CA 91746",Outdoor Structures,CA,ARCADIA,4855,410,0.08444902162718847,0.7560975609756095,0.8613721804511263,-0.10527461947551675,0.8390243902439024,0.8648966165413556,-0.025872226297453227,0.9434117536219034
constrained,23665,"Cozy Line Home Fashions, Inc.",Soft Home,CA,CHINO LOCAL,2739,408,0.14895947426067907,0.875,0.9523593466424682,-0.07735934664246824,0.8137254901960785,0.8679673321234108,-0.05424184192733228,0.9501906131406169
constrained,270038,Kouboo CA 92879,Storage & Org - Frequency,CA,WEST RIALTO,3061,402,0.1313296308395949,0.9800995024875623,0.9815313582146988,-0.001431855727136555,0.8781094527363177,0.9242016160061564,-0.04609216326983867,0.9630989842612767
constrained,475218,"Ningbo Maowei E-commerce Co., Ltd. GA 30297",APS Outdoor,GA,SOUTH ATLANTA,3869,399,0.10312742310674593,0.7744360902255634,0.8738559490648632,-0.09941985883929982,0.7042606516290726,0.7568643056108242,-0.0526036539817516,0.8526755548907515
constrained,141329,Homebeez CA 91761,Upholstery,CA,CHINO LOCAL,2621,391,0.1491797024036627,0.9258312020460355,0.9509990485252129,-0.025167846479177358,0.8644501278772377,0.8901046622264508,-0.025654534349213054,0.9579958312130161
constrained,70741,Westin Outdoor CA,Outdoor Furniture,CA,WEST RIALTO,1871,386,0.20630678781400322,0.8134715025906738,0.678332092330603,0.1351394102600708,0.5207253886010363,0.6865227103499625,-0.16579732174892614,0.9453465470474394
constrained,149170,Alphamarts 007-F CA 91789,APS Outdoor,CA,INDUSTRY,6196,378,0.06100710135571336,0.9894179894179893,0.9868396315096829,0.0025783579083064057,0.9179894179894184,0.9191577364166195,-0.0011683184272011093,0.9108501315217167
constrained,100167,NingBo KaiMeiChen DianZiShangWu You CA 92571,APS Home Improvement,CA,RIALTO LOCAL,5446,376,0.06904149834741094,0.9840425531914893,0.9515949141200089,0.032447639071480405,0.9122340425531922,0.8967209457952258,0.015513096757966416,0.9403585874520662
constrained,216053,Homelux Designs LLC CA 90220,APS Home Improvement,CA,CARSON,2969,375,0.1263051532502526,0.9759999999999998,0.7711522965350531,0.20484770346494663,0.8826666666666665,0.831587429492344,0.0510792371743225,0.9501904484124009
constrained,325759,"Chenxin Optoelectronic Co., Limited GA 31407",APS Outdoor,GA,SAVANNAH,6587,374,0.05677850311219068,0.8823529411764703,0.9094796863863163,-0.027126745209845926,0.8422459893048131,0.8763364219529578,-0.03409043264814471,0.82975231648446
constrained,22213,Benzara CA 90660,Casegoods,CA,SANTA FE SPRINGS,2807,373,0.1328820805130032,0.8176943699731902,0.8265971316818778,-0.008902761708687534,0.7479892761394107,0.771403737505433,-0.02341446136602232,0.9441896370859835
