sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
Rugs,ghost,917,0.8473282442748095,0.5747001090512539,201660,0.004547257760587127
Rugs,local_wrong_hub,81612,0.9073298044405246,0.8805935401656618,201660,0.4047009818506397
Rugs,misshipping,8882,0.8630938977707723,0.885723936050438,201660,0.044044431220866806
Rugs,other_closer,32880,0.9044403892944022,0.889020681265207,201660,0.16304671228800952
Services,aligned,82,0.0,0.0,82,1.0
Soft Home,aligned,93087,0.9128986861752975,0.8086413784953855,166026,0.5606772433233349
Soft Home,ghost,946,0.8118393234672299,0.5665961945031717,166026,0.005697902738125354
Soft Home,local_wrong_hub,53930,0.8808826256258108,0.8496755052846281,166026,0.3248286412971462
Soft Home,misshipping,1069,0.8456501403180545,0.653882132834425,166026,0.006438750557141652
Soft Home,other_closer,16994,0.8910203601271037,0.8558903142285509,166026,0.10235746208425187
Spa,aligned,162,0.9629629629629629,0.8827160493827159,197,0.8223350253807107
Spa,ghost,1,1.0,1.0,197,0.005076142131979695
Spa,local_wrong_hub,31,1.0,1.0,197,0.15736040609137056
Spa,misshipping,3,0.3333333333333333,0.0,197,0.015228426395939087
Storage & Org,aligned,7069,0.9561465553826577,0.8888102984863505,11584,0.6102382596685083
Storage & Org,ghost,128,0.6874999999999997,0.6484374999999999,11584,0.011049723756906077
Storage & Org,local_wrong_hub,2816,0.9364346590909076,0.9197443181818183,11584,0.2430939226519337
Storage & Org,misshipping,133,0.8195488721804509,0.5413533834586467,11584,0.011481353591160221
Storage & Org,other_closer,1438,0.8720445062586928,0.9095966620305977,11584,0.12413674033149172
Storage & Org - Frequency,aligned,23546,0.912936379852204,0.8367450947082308,37497,0.6279435688188388
Storage & Org - Frequency,ghost,516,0.8972868217054263,0.7945736434108528,37497,0.013761100888071046
Storage & Org - Frequency,local_wrong_hub,9818,0.9081279282949678,0.8806274190262782,37497,0.2618342800757394
Storage & Org - Frequency,misshipping,521,0.8848368522072931,0.7754318618042224,37497,0.013894444888924447
Storage & Org - Frequency,other_closer,3096,0.9124677002583976,0.9127906976744177,37497,0.08256660532842627
Tabletop,aligned,29323,0.9150496197524116,0.7559253828053076,40898,0.7169788253704338
Tabletop,ghost,130,0.8,0.3692307692307693,40898,0.003178639542275906
Tabletop,local_wrong_hub,10201,0.9364768159984301,0.8845211253798666,40898,0.24942539977505013
Tabletop,misshipping,223,0.8520179372197307,0.7309417040358744,40898,0.0054525893686732845
Tabletop,other_closer,1021,0.905974534769833,0.8814887365328111,40898,0.024964545943566924
Upholstery,aligned,15173,0.9301390628089394,0.8034666842417436,42078,0.3605922334711726
Upholstery,ghost,1172,0.8720136518771332,0.7576791808873726,42078,0.027853034840058938
Upholstery,local_wrong_hub,19029,0.9185453781070987,0.8812864575122155,42078,0.4522315699415371
Upholstery,misshipping,1303,0.8188795088257868,0.6139677666922501,42078,0.030966300679690098
Upholstery,other_closer,5401,0.8890946121088701,0.8922421773745617,42078,0.12835686106754124
WGS India,aligned,2297,0.9364388332607742,0.8389203308663467,2431,0.9448786507610037
