supplier_id,su_name,sto,is_cushioned,vol,vol_det,vol_direct,vol_local,direct_share,ifr,delivery_rel,det_on_time,det_hits_minus_1,ifr_direct,ifr_local,del_direct,det_on_time_direct,det_m1_direct,cushion,ifr_vs_del_pp,ifr_vs_det_pp
30725,Shelter Logic CA92337,Outdoor Structures,1,186.0,182.0,25.0,150.0,0.13440860215053763,0.7795698924731179,0.9193548387096774,0.8434432234432235,0.6873260073260075,0.64,0.8199999999999997,0.8,0.7200000000000002,0.52,1.0,-13.978494623655946,-6.387333097010561
27440,Rio Home Fashions CA,Mattress,1,180.0,177.0,23.0,153.0,0.12777777777777777,0.538888888888889,0.9333333333333331,0.8114545253129501,0.510911709316495,0.565217391304348,0.5294117647058825,0.9565217391304346,0.9130434782608694,0.43478260869565216,1.0,-39.444444444444414,-27.256563642406118
123461,Tiger Supplies DBA Adir Corp SC 29379,Casegoods,1,178.0,170.0,20.0,155.0,0.11235955056179775,0.6629213483146067,0.876404494382023,0.7874636306135357,0.5286654016445286,0.45,0.6967741935483871,0.75,0.85,0.45,1.0,-21.348314606741624,-12.454228229892905
185941,Adowam Magic LLC CA 91710,Upholstery,1,177.0,176.0,37.0,119.0,0.20903954802259886,0.3954802259887006,0.8926553672316381,0.8361344537815124,0.4400783040488921,0.1891891891891892,0.5210084033613446,0.8108108108108109,0.8378378378378378,0.29729729729729726,1.0,-49.71751412429375,-44.065422779281185
269408,Waterstone CA 92562,PG Home Improvement,1,176.0,164.0,25.0,143.0,0.14204545454545456,0.6931818181818185,0.8920454545454546,0.8263261129114785,0.7862016032747743,0.8799999999999999,0.6573426573426577,0.9599999999999999,0.9599999999999999,0.8799999999999999,2.0,-19.886363636363612,-13.314429472966005
135540,Yii Lighting CA 91789,APS Home Improvement,1,168.0,165.0,24.0,135.0,0.14285714285714285,0.6309523809523808,0.8630952380952378,0.8456565656565658,0.7446464646464646,0.6250000000000001,0.622222222222222,0.9166666666666665,0.9583333333333334,0.8749999999999999,2.0,-23.214285714285698,-21.470418470418494
304902,SKC-YQN-GA-CMP,APS,1,167.0,164.0,22.0,109.0,0.1317365269461078,0.5868263473053892,0.8622754491017962,0.8143320653390018,0.4250391586484672,0.5,0.6788990825688072,0.9545454545454544,0.9545454545454544,0.5454545454545456,1.0,-27.544910179640702,-22.750571803361265
445834,"Ziyang Qiming Chenguang Network Technology Co., Ltd NY 11367",APS Pet,1,166.0,161.0,18.0,138.0,0.10843373493975904,0.6807228915662651,0.8614457831325297,0.7647403006571251,0.5964533261319651,0.6666666666666667,0.6666666666666666,0.8888888888888887,0.7777777777777777,0.6111111111111112,1.0,-18.072289156626464,-8.401740909085998
399984,九方休斯顿2号仓-SD,APS Bedroom,1,164.0,162.0,30.0,118.0,0.18292682926829268,0.23170731707317074,0.8963414634146339,0.8477715003138732,0.2197112366603893,0.36666666666666664,0.19491525423728817,0.9333333333333333,0.8999999999999998,0.2666666666666667,1.0,-66.46341463414632,-61.60641832407025
369435,"Golden Bull Marketing, LLC CA 91762",Outdoor Structures,1,164.0,162.0,33.0,125.0,0.20121951219512196,0.5670731707317073,0.9146341463414632,0.8661728395061727,0.5788148148148146,0.3030303030303031,0.64,0.9696969696969696,0.9393939393939394,0.42424242424242414,1.0,-34.7560975609756,-29.909966877446546
411626,深圳英煌家具（集团）有限公司 CA 92879,APS Upholstery,1,154.0,150.0,26.0,118.0,0.16883116883116883,0.3766233766233766,0.8961038961038957,0.8893785310734461,0.45355932203389804,0.34615384615384615,0.40677966101694907,0.9230769230769229,0.8076923076923076,0.38461538461538464,1.0,-51.94805194805192,-51.275515445006945
324557,AOGES INDUSTRY INC CA 91710,APS,1,153.0,151.0,23.0,125.0,0.1503267973856209,0.5359477124183007,0.9150326797385617,0.7779072847682122,0.4578543046357615,0.565217391304348,0.5280000000000001,0.9565217391304346,0.826086956521739,0.565217391304348,1.0,-37.908496732026094,-24.19595723499115
305124,Soueeum CA 91730,APS,1,151.0,148.0,24.0,125.0,0.15894039735099338,0.7483443708609273,0.9072847682119202,0.8615135135135132,0.8021621621621623,0.7083333333333334,0.7600000000000002,1.0,1.0,1.0,4.0,-15.894039735099286,-11.316914265258593
235360,Darya Home GA 30701,Rugs,1,143.0,140.0,19.0,122.0,0.13286713286713286,0.2447552447552448,0.9020979020979021,0.8043911007025765,0.5321428571428569,0.3684210526315789,0.21311475409836073,0.9473684210526315,0.8421052631578947,0.7368421052631579,1.0,-65.73426573426573,-55.96358559473317
409291,LONSHIRE SPARK INC CA 90670,APS K&D,1,140.0,136.0,21.0,105.0,0.15,0.7642857142857142,0.8857142857142859,0.851190476190476,0.7869747899159664,0.9523809523809523,0.7428571428571429,0.9047619047619048,1.0,0.9523809523809523,2.0,-12.142857142857167,-8.690476190476183
312266,"Qingdao Ouyida International Trade Co., Ltd GA 31326",Wayfair,1,139.0,136.0,26.0,100.0,0.18705035971223022,0.5683453237410071,0.8920863309352518,0.8422058823529414,0.4388235294117646,0.42307692307692313,0.6199999999999999,0.9230769230769229,0.9615384615384615,0.38461538461538464,1.0,-32.37410071942447,-27.386055861193427
478576,Riverstar Inc. CA 91752-3717,APS Outdoor,1,136.0,134.0,22.0,99.0,0.16176470588235295,0.5367647058823529,0.8823529411764706,0.7942107643600181,0.49231117141564923,0.5,0.5555555555555555,0.9545454545454546,0.818181818181818,0.45454545454545453,1.0,-34.55882352941176,-25.744605847766522
298275,"Wenzhou Qilin Digital Technology Co., Ltd CA 92337",APS,1,130.0,130.0,16.0,108.0,0.12307692307692308,0.7538461538461538,0.9153846153846151,0.9461538461538461,0.7846153846153845,0.6875000000000001,0.7592592592592593,0.9374999999999999,1.0,0.9374999999999999,1.0,-16.15384615384613,-19.23076923076923
11175,Sietto,PG Home Improvement,1,129.0,124.0,16.0,112.0,0.12403100775193798,0.7441860465116278,0.868217054263566,0.8305011520737327,0.651857718894009,0.8124999999999999,0.7410714285714285,1.0,1.0,0.8124999999999999,1.0,-12.40310077519382,-8.631510556210486
254077,TOV FurnitureNC27406,Upholstery,1,124.0,123.0,13.0,111.0,0.10483870967741936,0.7499999999999999,0.887096774193548,0.774262066944994,0.5565809712151173,0.6923076923076923,0.7567567567567566,0.846153846153846,0.846153846153846,0.6923076923076923,1.0,-13.709677419354815,-2.426206694499411
127104,OPTIONS TRADING LLC GA 30517,APS,1,122.0,122.0,20.0,89.0,0.16393442622950818,0.5081967213114754,0.9098360655737704,0.8032786885245901,0.43442622950819676,0.35,0.5393258426966292,1.0,0.95,0.3,1.0,-40.163934426229496,-29.508196721311464
