supplier_id,su_name,parent_suid,parent_su_name,sto,vol,ifr,delivery_rel,avg_direct_gain,avg_o2d_stated,avg_o2d_actual,avg_mi_actual_to_cust,avg_mi_assigned_to_cust,pct_constrained,top_assigned_hub,top_actual_hub,pct_of_corridor
415599,Tech Cube Inc CA 92374,271400,Tech Cube Inc,Upholstery,1,1.0,1.0,0.9878350411387613,17.0,9.0,24.1,1981.1,1.0,WEST RIALTO,Chicago,2.0784835384103757e-05
415616,DongguanshiYuanmumuDianzikejiYouxiangongsi CA 90703,247010,DongguanshiYuanmumuDianzikejiYouxiangongsi,APS AEOF,1,1.0,1.0,0.983111111111111,15.0,7.0,30.4,1800.0,1.0,SANTA FE SPRINGS,North St.Louis,2.0784835384103757e-05
415653,Red Cloud Inc CA 91761,105688,Red Cloud Inc,Casegoods,1,1.0,1.0,0.9912588327662916,9.0,7.0,16.7,1910.5,1.0,CHINO LOCAL,Maple Grove,2.0784835384103757e-05
414794,"Kunming Wuhua District Lvchenman Trading Co., Ltd GA 31408",365856,"Kunming Wuhua District Lvchenman Trading Co., Ltd",APS Housewares & More,1,0.0,1.0,0.5458466675942674,24.0,13.0,979.2,2156.1,1.0,CARSON,Richmond Hill Ncpc,2.0784835384103757e-05
415127,CAN1 - CA 91731,238018,HUNANAOLAIFUKUAJINGDIANZISHANGWUYOUXIANGONGSI,APS Upholstery,1,1.0,1.0,0.9646637608966375,9.0,7.0,45.4,1284.8,1.0,ARCADIA,Rapid City,2.0784835384103757e-05
416337,"Zhongshan Jufu Trading Co., Ltd CA 91764",363184,"Zhongshan Jufu Trading Co., Ltd",APS Home Improvement,1,1.0,1.0,0.973281674549663,7.0,7.0,53.1,1987.4,1.0,CHINO LOCAL,Romeoville Rsf,2.0784835384103757e-05
416353,"Yiwu Longfei Trading Co.,Ltd AL 95776",93985,"Yiwu Longfei Trading Co.,Ltd",APS K&D,1,1.0,1.0,0.937075537075537,10.0,7.0,136.2,2164.5,0.0,ROSEVILLE,Northern Kentucky,2.0784835384103757e-05
416420,"Kunming Faping International Trading Co., Ltd CA 91761",337919,"Kunming Faping International Trading Co., Ltd",APS Home Improvement,1,1.0,1.0,0.9786357010003519,10.0,8.0,42.5,1989.3,1.0,CHINO LOCAL,Romeoville Rsf,2.0784835384103757e-05
57468,Brightening House Inc CA91761 (2),51814,Brightening House Inc,APS,1,1.0,1.0,0.960236289895962,8.0,7.0,90.2,2268.4,1.0,CHINO LOCAL,Toledo,2.0784835384103757e-05
56342,Elegant Lighting PA 19140 Glenwood,9367,Elegant Lighting,Plumbing,1,1.0,1.0,0.7851669280752857,15.0,3.0,479.4,2231.5,1.0,INDUSTRY,King Of Prussia,2.0784835384103757e-05
57268,LTmate Global LLC CA 91748,50414,LTMATE GLOBAL INC.,APS Home Improvement,1,1.0,1.0,0.991219031405403,5.0,5.0,19.6,2232.1,1.0,INDUSTRY,Columbus,2.0784835384103757e-05
415136,SHENZHENSHI JULIBAIBIAN KEJIYOUXIAN CA 92337(6),64532,SHENZHENSHI JULIBAIBIAN KEJIYOUXIANGONGSI,APS K&D,1,1.0,1.0,0.9298169515051617,7.0,6.0,161.8,2305.4,1.0,WEST RIALTO,Columbus,2.0784835384103757e-05
