dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Midwest,Decor,2440,9071,7.63770491803279,7.13190018834167,0.5058047296911194,0.896311475409836,0.9089405798699149,0.8442622950819674,0.8005732554293904,0.8397540983606557,0.8027780840039687
Midwest,Hardware,560,2226,7.137500000000002,6.361860193715435,0.7756398062845671,0.9196428571428571,0.9061096136567834,0.8160714285714284,0.7619047619047619,0.8232142857142856,0.7309074573225517
Midwest,Kitchen & Small Electrics,576,2200,7.208449074074076,6.684957066170254,0.5234920079038217,0.8819444444444442,0.9031818181818182,0.8107638888888888,0.8086363636363634,0.7586805555555556,0.7936363636363636
Midwest,Lighting,3030,10507,7.422777329822452,6.844391975673092,0.5783853541493595,0.8871287128712871,0.90044732083373,0.8782178217821783,0.8137432188065098,0.8471947194719474,0.792614447511183
Midwest,Outdoor Furniture,3662,8633,7.445948143613006,7.765652496572499,-0.3197043529594925,0.8405243036592024,0.8604193212093131,0.81594756963408,0.7668249739372176,0.7760786455488803,0.7552415151164137
Midwest,Outdoor Structures,630,2344,7.7412698412698395,7.322847796901181,0.4184220443686586,0.8126984126984124,0.9176621160409556,0.846031746031746,0.8319112627986349,0.8174603174603174,0.8246587030716721
Midwest,Plumbing,1121,4101,7.655664585191793,7.215829554855366,0.43983503033642624,0.9009812667261374,0.9397707876127772,0.8670829616413916,0.8212631065593755,0.8528099910793934,0.8227261643501586
Midwest,Recreation,372,1434,6.658602150537634,6.404095518112255,0.25450663242537885,0.956989247311828,0.9344490934449093,0.8575268817204301,0.8319386331938632,0.8521505376344087,0.797071129707113
Midwest,Rugs,474,1077,6.814345991561181,6.400520018943931,0.41382597261724996,0.9472573839662447,0.884865366759517,0.7890295358649788,0.7836583101207056,0.7616033755274261,0.7530176415970287
Midwest,Soft Home,2288,9049,7.359702797202796,6.806036636796847,0.5536661604059487,0.9020979020979021,0.9097137805282351,0.8409090909090909,0.7828489335838215,0.8041958041958042,0.752016797436181
