supplier_id,su_name,parent_suid,parent_su_name,sto,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,gain_july4,top_actual_hub_july4,vol_baseline,ifr_baseline,delivery_rel_baseline,o2d_stated_baseline,o2d_actual_baseline,gain_baseline,top_actual_hub_baseline,o2d_gap_july4,o2d_gap_baseline,ifr_delta,del_delta,o2d_actual_delta,o2d_stated_delta
313815,"Hangzhou Mengfeisi Home Furnishings Co., Ltd GA 31326",313810,"Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,2,1.0,0.0,4.0,5.0,0.6830366194898415,West Savannah  Ncpc,15.0,1.0,0.5333333333333333,3.533333333333333,3.7333333333333334,0.6072977379286805,West Savannah  Ncpc,1.0,0.20000000000000018,0.0,-0.5333333333333333,1.2666666666666666,0.4666666666666668
301635,WHALL GLOBAL BUSINESS LIMITED CA 94538,298036,WHALL GLOBAL BUSINESS LIMITED,Wayfair,2,0.5,1.0,7.0,5.0,0.5855222780079934,East Chattanooga,25.0,0.92,1.0,8.12,4.52,0.8251529490812821,Northern Kentucky,-2.0,-3.5999999999999996,-0.42000000000000004,0.0,0.4800000000000004,-1.1199999999999992
255050,JOYIN US CORP. CA 91730,49117,JOYIN US CORP.,APS Decor,2,1.0,1.0,8.0,5.0,0.419212873942553,South Houston,109.0,1.0,0.9724770642201835,8.614678899082568,5.146788990825688,0.950239707723093,Chicago,-3.0,-3.46788990825688,0.0,0.02752293577981646,-0.14678899082568808,-0.614678899082568
254770,PRIMESTOK Jersey CA 91730,81358,PRIMESTOK INC,Casegoods,2,0.0,0.0,8.5,13.0,0.6746075133448155,King Of Prussia,29.0,0.896551724137931,0.8620689655172413,13.655172413793103,10.172413793103448,0.9772413043494166,Chicago,4.5,-3.482758620689655,-0.896551724137931,-0.8620689655172413,2.8275862068965516,-5.155172413793103
326360,"Freestyle Outdoor Living Co., Ltd GA 31407 ",57760,Orange Casual Co Ltd_1,APS Outdoor,2,0.5,1.0,18.0,5.5,0.5859770518685531,Richmond Hill Ncpc,12.0,1.0,0.8333333333333334,5.416666666666667,3.5833333333333335,0.5810794164615759,Richmond Hill Ncpc,-12.5,-1.8333333333333335,-0.5,0.16666666666666663,1.9166666666666665,12.583333333333332
449657,Moe's Home Collection MS 30114,7922,Moe's Home Collection,Casegoods,2,1.0,1.0,7.0,3.0,0.5141553407585496,Olive Branch,,,,,,,,-4.0,,,,,
313259,AM-CA,100553,SHENZHEN NAMUNANI WANGLUO KEJI YOUXIAN GONGSI,APS,2,1.0,1.0,9.5,3.5,0.9436152357842487,Etna Rsf,197.0,0.7208121827411168,0.8020304568527918,8.862944162436548,7.614213197969543,0.9658828975482294,Chicago,-6.0,-1.248730964467005,0.2791878172588832,0.19796954314720816,-4.114213197969543,0.6370558375634516
249783,BeatiNeon Irvine Warehouse,244283,Beatineon Lighting Inc.,Lighting,2,0.0,1.0,8.0,0.0,0.9717797271054849,Chicago Loop,55.0,0.8,0.9090909090909091,7.345454545454546,6.4,0.9700990040445079,Chicago,-8.0,-0.9454545454545453,-0.8,0.09090909090909094,-6.4,0.6545454545454543
267938,EVERGREEN DECOR INC CA 91761,267936,EVERGREEN DECOR INC,Wayfair,2,1.0,1.0,8.0,5.0,0.571603750901659,Chattanooga,,,,,,,,-3.0,,,,,
243335,"Dewenwils Network Technology Co., Ltd NJ 08817",62262,"Dewenwils Network Technology Co., Ltd",APS Home Improvement,2,1.0,1.0,7.0,3.0,0.6054421768707482,Metuchen,,,,,,,,-4.0,,,,,
204275,US_HK LOST HORIZON INTERNATIONAL ELECTRONIC COMMERCE LIMITED CA 92337,202994,US_HK LOST HORIZON INTERNATIONAL ELECTRONIC COMMERCE LIMITED,APS,2,0.0,0.5,7.0,7.0,0.7363800120929653,Carol Stream,54.0,0.9814814814814815,0.9814814814814815,6.962962962962963,4.018518518518518,0.8237672924853952,Mccook,0.0,-2.9444444444444446,-0.9814814814814815,-0.4814814814814815,2.981481481481482,0.0370370370370372
17066,  CA2,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,1,0.0,1.0,9.0,6.0,0.7854851643945469,East Chattanooga,585.0,0.7435897435897436,0.8752136752136752,7.442735042735043,5.972649572649573,0.9432299073157164,Chicago,-3.0,-1.4700854700854702,-0.7435897435897436,0.12478632478632479,0.027350427350427253,1.557264957264957
22430,EnitialLab CA,6851,EnitialLab,Casegoods,1,1.0,1.0,8.0,6.0,0.9817692628844458,Northern Kentucky,83.0,0.7469879518072289,0.8072289156626506,7.590361445783133,7.445783132530121,0.9706280548739585,Toledo,-2.0,-0.14457831325301207,0.2530120481927711,0.19277108433734935,-1.4457831325301207,0.40963855421686723
8678,Linon NC 27288,405,Linon,Casegoods,1,1.0,1.0,8.0,3.0,0.7974608296887605,Elon,2.0,0.5,1.0,5.5,4.5,0.6779362216814974,Elon,-5.0,-1.0,0.5,0.0,-1.5,2.5
112453,terby inc CA 91708,111941,terby inc,Lighting,1,0.0,1.0,11.0,10.0,0.811075506611906,Murfreesboro,72.0,0.8333333333333334,0.9444444444444444,9.63888888888889,8.48611111111111,0.9639605253284018,Toledo,-1.0,-1.1527777777777786,-0.8333333333333334,0.05555555555555558,1.5138888888888893,1.3611111111111107
49461,Uniek WI 53597,22487,Uniek,Decor,1,1.0,1.0,7.0,4.0,0.8547026796199423,Madison,2.0,1.0,0.5,6.0,6.0,0.8888461622140408,Cincinnati,-3.0,0.0,0.0,0.5,-2.0,1.0
44488,E Home International Inc. CA 91748,34449,E Home International Inc.,APS Youth,1,0.0,1.0,8.0,7.0,0.7865614281581884,Columbus,26.0,0.9230769230769231,0.8076923076923077,7.461538461538462,7.269230769230769,0.9575944695358345,Toledo,-1.0,-0.1923076923076925,-0.9230769230769231,0.1923076923076923,-0.26923076923076916,0.5384615384615383
40360,Cathay Home Inc. NJ,14556,Cathay Home Inc.,Soft Home,1,1.0,1.0,7.0,3.0,0.585223490860683,Woodbridge,6.0,1.0,1.0,6.833333333333333,4.166666666666667,0.8628824541598029,Woodbridge,-4.0,-2.666666666666666,0.0,0.0,-1.166666666666667,0.16666666666666696
34687,Tatara Group NJ07065,10440,Tatara Group,Storage & Org - Frequency,1,1.0,1.0,6.0,6.0,0.6767406273909716,Linden,,,,,,,,0.0,,,,,
130533,Shenzhen Honga Intelligence E-Commerce CA 90022,97786,"Shenzhen Honga Intelligence E-Commerce Co., Ltd.",APS,1,1.0,1.0,8.0,4.0,0.6415366983905526,Greensboro,8.0,1.0,1.0,6.875,4.375,0.797387854731032,Chicago,-4.0,-2.5,0.0,0.0,-0.375,1.125
123085,Armen Living OR 97210,2502,Armen Living,Casegoods,1,0.0,1.0,12.0,9.0,0.9928583155475291,Columbus,,,,,,,,-3.0,,,,,
116386,EverDream Craft CA 91752,80897,EverDream Craft,Decor,1,1.0,1.0,8.0,2.0,0.9919127808773097,Mccook,54.0,0.5740740740740741,0.8888888888888888,9.166666666666666,7.132075471698113,0.952418332605781,Chicago,-6.0,-2.034591194968553,0.42592592592592593,0.11111111111111116,-5.132075471698113,-1.166666666666666
251624,do home inc CA 91730,251618,do home inc,Wayfair,1,1.0,1.0,8.0,4.0,0.5231098171231007,South Dallas Rsf,63.0,1.0,0.9682539682539683,9.444444444444445,5.698412698412699,0.8565069667043755,Chicago,-4.0,-3.746031746031746,0.0,0.031746031746031744,-1.6984126984126986,-1.4444444444444446
254296,"Guangzhou Fred Home Furnishings Co., Ltd CA 92880",254285,"Guangzhou Fred Home Furnishings Co., Ltd",Wayfair,1,1.0,1.0,6.0,3.0,0.9945649438880781,Hammond,3.0,1.0,1.0,9.666666666666666,5.666666666666667,0.8434319356662795,Maple Grove,-3.0,-3.999999999999999,0.0,0.0,-2.666666666666667,-3.666666666666666
253621,Moda Furnishings CA 91730(2),39355,Moda Furnishings,Outdoor Furniture,1,1.0,1.0,10.0,10.0,0.6016011513897634,Richmond Hill Ncpc,37.0,0.972972972972973,0.8108108108108109,9.702702702702704,8.35135135135135,0.9650712828269365,Chicago,0.0,-1.3513513513513526,0.027027027027026973,0.18918918918918914,1.6486486486486491,0.2972972972972965
183019,PROFOUND CENTURY CA 92835,142934,PROFOUND CENTURY LIMITED,APS,1,1.0,1.0,8.0,4.0,0.672575842173832,Richmond Hill Ncpc,9.0,1.0,0.7777777777777778,8.222222222222221,7.111111111111111,0.8689508814841402,Chicago,-4.0,-1.1111111111111107,0.0,0.2222222222222222,-3.1111111111111107,-0.22222222222222143
200205,Shenzhenshi Daman NJ 08060,76761,Shenzhenshi Daman Shiye Youxiangongsi,APS K&D,1,1.0,1.0,7.0,3.0,0.772780531771068,Robbinsville,,,,,,,,-4.0,,,,,
146552,"Ningbo Garden International Co, Ltd. NJ 07305",53407,"Ningbo Garden International Co, Ltd.",APS Outdoor,1,1.0,1.0,7.0,4.0,0.60763381841986,Secaucus,,,,,,,,-3.0,,,,,
290812,Barry Room Inc CA 92571,277709,Barry Room Inc,Wayfair,1,0.0,0.0,8.0,9.0,0.7525748387717779,Hagerstown,33.0,1.0,0.9090909090909091,8.424242424242424,6.96969696969697,0.9617287794532595,Toledo,1.0,-1.4545454545454541,-1.0,-0.9090909090909091,2.0303030303030303,-0.42424242424242387
279093,"Ningbo Detaike Trading Co., Ltd. NY 11716",279037,"Ningbo Detaike Trading Co., Ltd.",APS Outdoor,1,1.0,0.0,5.0,6.0,0.6116561437591064,Woodbridge,1.0,1.0,1.0,8.0,3.0,0.940041841004184,Etna Rsf,1.0,-5.0,0.0,-1.0,3.0,-3.0
236461,Americanflat Corp CA 92335,10545,Americanflat Corp,Decor,1,0.0,1.0,8.0,6.0,0.7052248242375196,Olive Branch,1.0,1.0,1.0,10.0,5.0,0.9860297431275349,Columbus,-2.0,-5.0,-1.0,0.0,1.0,-2.0
234897,CA3-W1710,67639,MIRROR FLY LLC,Outdoor Furniture,1,0.0,0.0,11.0,17.0,0.7408707865168539,King Of Prussia,1.0,0.0,0.0,9.0,18.0,0.8209296309072094,King Of Prussia,6.0,9.0,0.0,0.0,-1.0,2.0
177654,Loctek-CA,100553,SHENZHEN NAMUNANI WANGLUO KEJI YOUXIAN GONGSI,APS,1,1.0,1.0,8.0,3.0,0.5472067778660313,Olive Branch,,,,,,,,-5.0,,,,,
174581,"Ningbo le verde home furnishing co.,ltd. NJ 08016",70401,"Ningbo le verde home furnishing co.,ltd.",APS Outdoor,1,1.0,1.0,6.0,4.0,0.7452950268206201,Fairless Hills,4.0,1.0,1.0,5.75,3.25,0.6491423460460822,Fairless Hills,-2.0,-2.5,0.0,0.0,0.75,0.25
175484,Shenzhen Oumeifeng Fashion Design Co Ltd. CA 92336,108440,"Shenzhen Oumeifeng Fashion Design Co., Ltd.",APS,1,1.0,0.0,5.0,6.0,0.48732822707817075,Fairless Hills,13.0,1.0,1.0,6.153846153846154,4.538461538461538,0.6636171323717139,Fairless Hills,1.0,-1.6153846153846159,0.0,-1.0,1.4615384615384617,-1.1538461538461542
308884,"Xianyou County Sili Network Technology Co., Ltd. CA 92337",308878,"Xianyou County Sili Network Technology Co., Ltd.",Wayfair,1,1.0,1.0,12.0,6.0,0.5117082338599076,West Savannah  Ncpc,,,,,,,,-6.0,,,,,
299874,Hangzhou Mucheng International Trade GA 30519 (2),132375,"Hangzhou Mucheng International Trade Co., Ltd",APS Other,1,0.0,1.0,8.0,4.0,0.7308641975308642,Braselton,1.0,0.0,1.0,9.0,5.0,0.4910543130990415,Norcross,-4.0,-4.0,0.0,0.0,-1.0,-1.0
