supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
43524,Fullest LLC CA,36331,Fullest LLC,APS,5.0,0.6,0.8,8.8,10.2,1.3999999999999986,0.9944124603681648,11.120000000000001,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
43750,Badeloft,43750,Badeloft,Plumbing,5.0,0.8,0.8,10.6,8.8,-1.799999999999999,0.8998619762487635,233.5,Cedar Rapids,,,,,,,,,,,,,,,,,,,,,,False,False
278412,Mopio Inc. CA 91761(2),63903,Mopio Inc.,Casegoods,5.0,0.8,1.0,8.4,7.6,-0.8000000000000007,0.9847443843051025,27.76,Duluth,,,,,,,,,,,,,,,,,,,,,,False,False
277543,Hangzhou aiou jiaju youxian gongsi CA 92337,246400,Aio Trading Limited,Casegoods,5.0,1.0,1.0,8.4,6.8,-1.6000000000000005,0.9745589689545499,53.339999999999996,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
157990,Espriti Home LLC CA 91766,157516,Espriti Home LLC,Outdoor Furniture,5.0,1.0,1.0,8.2,7.6,-0.5999999999999996,0.979990453606155,43.239999999999995,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
156608,Nuk3y Corp CA 91761,149308,Nuk3y Corp,Hardware,5.0,1.0,1.0,9.6,8.2,-1.4000000000000004,0.9739125015898379,51.8,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
367890,Deny Designs LLC CA 90230,10299,Deny Designs LLC,Decor,5.0,0.8,0.4,14.0,12.8,-1.1999999999999993,0.9332121384549911,135.14000000000001,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
369435,"Golden Bull Marketing, LLC CA 91762",35624,"Golden Bull Marketing, LLC",Outdoor Structures,5.0,0.6,1.0,8.6,7.6,-1.0,0.9208028315485185,140.9,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
369713,AVC-SR.ca,329999,AVC.,APS SEA,5.0,1.0,1.0,9.2,7.8,-1.3999999999999995,0.9631403799267515,74.56,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
308494,SHIELD TRADING LIMITED CA 92335,265421,SHIELD TRADING LIMITED,APS K&D,5.0,0.6,0.8,8.8,8.6,-0.20000000000000107,0.9461341137358403,99.72,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
