origin_state,dest_region,vol,suppliers,pct_of_directs
LA,Florida,1,1,1.7195692135206288e-06
MI,Unknown,1,1,1.7195692135206288e-06
ME,West Coast,1,1,1.7195692135206288e-06
NH,Northeast,1,1,1.7195692135206288e-06
MD,Northeast,1,1,1.7195692135206288e-06
ME,Mid-Atlantic,1,1,1.7195692135206288e-06
ME,South Central,1,1,1.7195692135206288e-06
ME,Southeast,1,1,1.7195692135206288e-06
CO,Unknown,1,1,1.7195692135206288e-06
ID,Southeast,1,1,1.7195692135206288e-06
ID,Florida,1,1,1.7195692135206288e-06
IA,Unknown,1,1,1.7195692135206288e-06
DE,Northeast,1,1,1.7195692135206288e-06
DE,Unknown,1,1,1.7195692135206288e-06
SD,West Coast,1,1,1.7195692135206288e-06
WV,West Coast,1,1,1.7195692135206288e-06
