candidate_bucket,supplier_id,su_name,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,actual_induction_hub_name,actual_induction_hub_state,destination_state,destination_zipcode,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,direct_gain,inducted_on_time_or_early,delivery_rel,purchase_order_number,tracking_number,ops,promised_delivery_end_range_date_at_order
jumbo,237104,Devion Furniture,CA,Ontario,91761,4422 E Airport Drive,MISSOULA,MT,Chino Hills Ncpc,CA,FL,33186,2841.0,2700.1,1181.1,0.04959521295318553,1,1,669095594,531292982894,80151637900,2026-08-02
jumbo,237104,Devion Furniture,CA,Ontario,91761,4422 E Airport Drive,MISSOULA,MT,Chino Hills Ncpc,CA,FL,33186,2841.0,2700.1,1181.1,0.04959521295318553,1,1,669095594,531292982910,80151637920,2026-08-02
jumbo,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Dallas,TX,IA,50208,1060.7,745.1,1471.3,0.2975393607994721,0,0,671805064,531304928861,80178860730,2026-08-06
jumbo,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Chino Hills Ncpc,CA,TX,78418,1778.4,1473.6,2700.5,0.17139001349527674,1,1,669629208,531295158327,80156418280,2026-07-30
jumbo,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Ventura,CA,CA,95367,2870.4,,2787.7,,1,1,668177496,531288414427,11489723127,2026-07-24
jumbo,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Ventura,CA,CA,95367,2870.4,,2787.7,,1,1,668177496,531288414427,11491142457,2026-07-24
jumbo,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Irving,TX,CO,80241,1749.3,,1477.9,,0,1,667393206,531284857046,12248364343,2026-07-16
jumbo,291275, 美南SAV自营仓,GA,Savannah,31407,150 Knowlton Way Savannah,WEST RIALTO,CA,Davenport,FL,AL,35476,1972.3,,2451.7,,1,1,671495014,531304945463,80175675650,2026-08-10
jumbo,291275, 美南SAV自营仓,GA,Savannah,31407,150 Knowlton Way Savannah,SAVANNAH,GA,Davenport,FL,CA,93422,2558.3,,315.8,,1,0,671565380,531304957147,80176411310,2026-08-10
jumbo,291275, 美南SAV自营仓,GA,Savannah,31407,150 Knowlton Way Savannah,PRINCETON,NJ,Richmond Hill Ncpc,GA,OK,74426,1357.9,,784.8,,1,1,672144355,531307093665,80182355550,2026-08-10
jumbo,291275, 美南SAV自营仓,GA,Savannah,31407,150 Knowlton Way Savannah,PRINCETON,NJ,Richmond Hill Ncpc,GA,OK,74426,1357.9,,784.8,,1,1,672144355,531307093665,80182355560,2026-08-10
jumbo,291275, 美南SAV自营仓,GA,Savannah,31407,150 Knowlton Way Savannah,PRINCETON,NJ,Richmond Hill Ncpc,GA,TX,75204,1516.7,1035.3,784.8,0.31739961759082225,1,0,672207408,531307176367,80183087530,2026-08-10
